"Sub.ID","Encoding","Group","Direction","JOL","Scored"
3,"READ","JOL C","F",3,0
3,"READ","JOL C","F",99,0
3,"READ","JOL C","B",10,1
3,"READ","JOL C","B",100,1
3,"READ","JOL C","B",80,0
3,"READ","JOL C","B",45,1
3,"READ","JOL C","B",30,1
3,"READ","JOL C","B",40,0
3,"READ","JOL C","B",29,0
3,"READ","JOL C","B",99,0
3,"READ","JOL C","B",48,1
3,"READ","JOL C","B",40,1
3,"READ","JOL C","B",30,1
3,"READ","JOL C","B",45,0
3,"READ","JOL C","B",15,1
3,"READ","JOL C","B",89,0
3,"READ","JOL C","B",100,0
3,"READ","JOL C","B",100,1
3,"READ","JOL C","B",100,1
3,"READ","JOL C","B",30,0
3,"READ","JOL C","B",89,1
3,"READ","JOL C","B",99,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,0
3,"READ","JOL C","S",85,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,0
3,"READ","JOL C","S",69,0
3,"READ","JOL C","S",100,1
3,"READ","JOL C","S",40,0
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,0
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,0
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,0
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","S",99,1
3,"READ","JOL C","U",30,0
3,"READ","JOL C","U",20,0
3,"READ","JOL C","U",25,0
3,"READ","JOL C","U",78,0
3,"READ","JOL C","U",45,0
3,"READ","JOL C","U",40,0
3,"READ","JOL C","U",10,0
3,"READ","JOL C","U",10,0
3,"READ","JOL C","U",4,0
3,"READ","JOL C","U",89,1
3,"READ","JOL C","U",5,0
3,"READ","JOL C","U",45,0
3,"READ","JOL C","U",10,1
3,"READ","JOL C","U",20,0
3,"READ","JOL C","U",2,1
3,"READ","JOL C","U",6,0
3,"READ","JOL C","U",20,0
3,"READ","JOL C","U",5,0
3,"READ","JOL C","U",56,0
3,"READ","JOL C","U",10,1
4,"READ","JOL D","B",80,1
4,"READ","JOL D","B",50,0
4,"READ","JOL D","B",70,1
4,"READ","JOL D","B",90,1
4,"READ","JOL D","B",85,1
4,"READ","JOL D","B",50,0
4,"READ","JOL D","B",80,1
4,"READ","JOL D","B",50,1
4,"READ","JOL D","B",70,0
4,"READ","JOL D","B",80,1
4,"READ","JOL D","B",80,0
4,"READ","JOL D","B",80,1
4,"READ","JOL D","B",90,1
4,"READ","JOL D","B",90,1
4,"READ","JOL D","B",45,1
4,"READ","JOL D","B",68,0
4,"READ","JOL D","B",70,1
4,"READ","JOL D","B",70,0
4,"READ","JOL D","B",70,0
4,"READ","JOL D","B",90,0
4,"READ","JOL D","F",76,1
4,"READ","JOL D","F",70,1
4,"READ","JOL D","F",80,1
4,"READ","JOL D","F",75,1
4,"READ","JOL D","F",80,1
4,"READ","JOL D","F",60,1
4,"READ","JOL D","F",85,0
4,"READ","JOL D","F",80,1
4,"READ","JOL D","F",90,1
4,"READ","JOL D","F",80,1
4,"READ","JOL D","F",50,1
4,"READ","JOL D","F",8,1
4,"READ","JOL D","F",90,1
4,"READ","JOL D","F",90,1
4,"READ","JOL D","F",70,1
4,"READ","JOL D","F",70,1
4,"READ","JOL D","F",70,1
4,"READ","JOL D","F",90,0
4,"READ","JOL D","F",90,1
4,"READ","JOL D","F",60,1
4,"READ","JOL D","S",70,1
4,"READ","JOL D","S",80,1
4,"READ","JOL D","S",90,1
4,"READ","JOL D","S",80,1
4,"READ","JOL D","S",60,1
4,"READ","JOL D","S",60,1
4,"READ","JOL D","S",75,1
4,"READ","JOL D","S",90,1
4,"READ","JOL D","S",80,1
4,"READ","JOL D","S",85,1
4,"READ","JOL D","S",85,1
4,"READ","JOL D","S",7,1
4,"READ","JOL D","S",85,1
4,"READ","JOL D","S",50,0
4,"READ","JOL D","S",70,1
4,"READ","JOL D","S",60,1
4,"READ","JOL D","S",70,1
4,"READ","JOL D","S",70,1
4,"READ","JOL D","S",95,0
4,"READ","JOL D","S",65,1
4,"READ","JOL D","U",40,0
4,"READ","JOL D","U",40,0
4,"READ","JOL D","U",40,1
4,"READ","JOL D","U",50,0
4,"READ","JOL D","U",45,0
4,"READ","JOL D","U",50,0
4,"READ","JOL D","U",55,0
4,"READ","JOL D","U",40,0
4,"READ","JOL D","U",40,1
4,"READ","JOL D","U",50,1
4,"READ","JOL D","U",40,1
4,"READ","JOL D","U",45,0
4,"READ","JOL D","U",40,0
4,"READ","JOL D","U",35,0
4,"READ","JOL D","U",4,1
4,"READ","JOL D","U",60,1
4,"READ","JOL D","U",50,1
4,"READ","JOL D","U",70,0
4,"READ","JOL D","U",40,0
4,"READ","JOL D","U",50,1
5,"IS","JOL A","F",20,0
5,"IS","JOL A","F",68,1
5,"IS","JOL A","F",70,1
5,"IS","JOL A","F",10,1
5,"IS","JOL A","F",20,1
5,"IS","JOL A","F",60,1
5,"IS","JOL A","F",25,0
5,"IS","JOL A","F",50,1
5,"IS","JOL A","F",78,1
5,"IS","JOL A","F",80,1
5,"IS","JOL A","F",10,0
5,"IS","JOL A","F",32,1
5,"IS","JOL A","F",50,1
5,"IS","JOL A","F",80,1
5,"IS","JOL A","F",38,1
5,"IS","JOL A","F",35,1
5,"IS","JOL A","F",69,1
5,"IS","JOL A","F",80,0
5,"IS","JOL A","F",65,1
5,"IS","JOL A","F",79,1
5,"IS","JOL A","B",50,1
5,"IS","JOL A","B",90,0
5,"IS","JOL A","B",30,1
5,"IS","JOL A","B",45,0
5,"IS","JOL A","B",70,0
5,"IS","JOL A","B",67,1
5,"IS","JOL A","B",20,0
5,"IS","JOL A","B",40,0
5,"IS","JOL A","B",20,0
5,"IS","JOL A","B",20,1
5,"IS","JOL A","B",30,1
5,"IS","JOL A","B",60,0
5,"IS","JOL A","B",40,1
5,"IS","JOL A","B",50,0
5,"IS","JOL A","B",80,0
5,"IS","JOL A","B",60,1
5,"IS","JOL A","B",60,0
5,"IS","JOL A","B",70,0
5,"IS","JOL A","B",80,0
5,"IS","JOL A","B",30,1
5,"IS","JOL A","S",50,0
5,"IS","JOL A","S",75,1
5,"IS","JOL A","S",85,1
5,"IS","JOL A","S",30,1
5,"IS","JOL A","S",60,1
5,"IS","JOL A","S",40,1
5,"IS","JOL A","S",60,1
5,"IS","JOL A","S",50,1
5,"IS","JOL A","S",70,0
5,"IS","JOL A","S",70,1
5,"IS","JOL A","S",60,0
5,"IS","JOL A","S",40,1
5,"IS","JOL A","S",68,1
5,"IS","JOL A","S",80,1
5,"IS","JOL A","S",40,1
5,"IS","JOL A","S",75,1
5,"IS","JOL A","S",61,1
5,"IS","JOL A","S",83,1
5,"IS","JOL A","S",40,1
5,"IS","JOL A","S",55,1
5,"IS","JOL A","U",40,0
5,"IS","JOL A","U",0,0
5,"IS","JOL A","U",60,0
5,"IS","JOL A","U",20,1
5,"IS","JOL A","U",10,0
5,"IS","JOL A","U",20,0
5,"IS","JOL A","U",20,1
5,"IS","JOL A","U",2,0
5,"IS","JOL A","U",3,0
5,"IS","JOL A","U",65,1
5,"IS","JOL A","U",2,0
5,"IS","JOL A","U",1,0
5,"IS","JOL A","U",3,0
5,"IS","JOL A","U",0,0
5,"IS","JOL A","U",0,0
5,"IS","JOL A","U",5,0
5,"IS","JOL A","U",10,0
5,"IS","JOL A","U",0,0
5,"IS","JOL A","U",12,0
5,"IS","JOL A","U",0,0
6,"IS","JOL B","F",40,1
6,"IS","JOL B","F",8,1
6,"IS","JOL B","F",70,1
6,"IS","JOL B","F",20,1
6,"IS","JOL B","F",12,1
6,"IS","JOL B","F",10,1
6,"IS","JOL B","F",60,1
6,"IS","JOL B","F",50,1
6,"IS","JOL B","F",40,1
6,"IS","JOL B","F",18,1
6,"IS","JOL B","F",80,1
6,"IS","JOL B","F",20,1
6,"IS","JOL B","F",15,1
6,"IS","JOL B","F",10,1
6,"IS","JOL B","F",10,1
6,"IS","JOL B","F",15,1
6,"IS","JOL B","F",25,1
6,"IS","JOL B","F",30,1
6,"IS","JOL B","F",8,1
6,"IS","JOL B","F",60,1
6,"IS","JOL B","B",10,1
6,"IS","JOL B","B",40,0
6,"IS","JOL B","B",60,0
6,"IS","JOL B","B",60,1
6,"IS","JOL B","B",10,1
6,"IS","JOL B","B",5,1
6,"IS","JOL B","B",5,1
6,"IS","JOL B","B",40,1
6,"IS","JOL B","B",20,1
6,"IS","JOL B","B",8,1
6,"IS","JOL B","B",25,1
6,"IS","JOL B","B",30,1
6,"IS","JOL B","B",80,1
6,"IS","JOL B","B",30,1
6,"IS","JOL B","B",18,1
6,"IS","JOL B","B",80,0
6,"IS","JOL B","B",80,1
6,"IS","JOL B","B",8,1
6,"IS","JOL B","B",20,1
6,"IS","JOL B","B",20,1
6,"IS","JOL B","S",5,1
6,"IS","JOL B","S",5,1
6,"IS","JOL B","S",90,1
6,"IS","JOL B","S",30,1
6,"IS","JOL B","S",10,1
6,"IS","JOL B","S",30,1
6,"IS","JOL B","S",70,1
6,"IS","JOL B","S",30,1
6,"IS","JOL B","S",30,1
6,"IS","JOL B","S",1,1
6,"IS","JOL B","S",8,1
6,"IS","JOL B","S",20,1
6,"IS","JOL B","S",40,1
6,"IS","JOL B","S",5,0
6,"IS","JOL B","S",15,1
6,"IS","JOL B","S",20,1
6,"IS","JOL B","S",20,1
6,"IS","JOL B","S",1,0
6,"IS","JOL B","S",8,1
6,"IS","JOL B","S",70,1
6,"IS","JOL B","U",0,1
6,"IS","JOL B","U",35,1
6,"IS","JOL B","U",15,1
6,"IS","JOL B","U",1,1
6,"IS","JOL B","U",1,0
6,"IS","JOL B","U",2,1
6,"IS","JOL B","U",0,0
6,"IS","JOL B","U",1,1
6,"IS","JOL B","U",1,0
6,"IS","JOL B","U",2,1
6,"IS","JOL B","U",1,0
6,"IS","JOL B","U",5,1
6,"IS","JOL B","U",1,1
6,"IS","JOL B","U",0,1
6,"IS","JOL B","U",0,0
6,"IS","JOL B","U",1,1
6,"IS","JOL B","U",0,0
6,"IS","JOL B","U",10,1
6,"IS","JOL B","U",6,1
6,"IS","JOL B","U",0,0
7,"IS","JOL C","F",25,1
7,"IS","JOL C","F",25,1
7,"IS","JOL C","F",50,0
7,"IS","JOL C","F",50,1
7,"IS","JOL C","F",0,0
7,"IS","JOL C","F",25,0
7,"IS","JOL C","F",100,1
7,"IS","JOL C","F",50,1
7,"IS","JOL C","F",75,1
7,"IS","JOL C","F",100,1
7,"IS","JOL C","F",25,1
7,"IS","JOL C","F",100,0
7,"IS","JOL C","F",50,0
7,"IS","JOL C","F",75,1
7,"IS","JOL C","F",100,1
7,"IS","JOL C","F",75,1
7,"IS","JOL C","F",50,1
7,"IS","JOL C","F",25,1
7,"IS","JOL C","F",75,1
7,"IS","JOL C","F",100,1
7,"IS","JOL C","B",75,1
7,"IS","JOL C","B",75,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",75,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",25,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",25,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",75,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",0,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",100,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",75,1
7,"IS","JOL C","B",50,1
7,"IS","JOL C","B",100,1
7,"IS","JOL C","B",25,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",75,0
7,"IS","JOL C","S",50,1
7,"IS","JOL C","S",75,1
7,"IS","JOL C","S",50,1
7,"IS","JOL C","S",75,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",75,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",75,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",75,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",25,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",100,1
7,"IS","JOL C","S",75,1
7,"IS","JOL C","U",0,0
7,"IS","JOL C","U",25,0
7,"IS","JOL C","U",25,0
7,"IS","JOL C","U",50,0
7,"IS","JOL C","U",25,0
7,"IS","JOL C","U",25,0
7,"IS","JOL C","U",50,0
7,"IS","JOL C","U",0,0
7,"IS","JOL C","U",0,0
7,"IS","JOL C","U",75,1
7,"IS","JOL C","U",0,1
7,"IS","JOL C","U",50,0
7,"IS","JOL C","U",50,0
7,"IS","JOL C","U",75,1
7,"IS","JOL C","U",75,0
7,"IS","JOL C","U",50,0
7,"IS","JOL C","U",0,0
7,"IS","JOL C","U",25,1
7,"IS","JOL C","U",25,0
7,"IS","JOL C","U",25,1
8,"IS","JOL D","B",35,0
8,"IS","JOL D","B",55,1
8,"IS","JOL D","B",65,0
8,"IS","JOL D","B",35,1
8,"IS","JOL D","B",65,1
8,"IS","JOL D","B",60,0
8,"IS","JOL D","B",65,1
8,"IS","JOL D","B",45,1
8,"IS","JOL D","B",85,0
8,"IS","JOL D","B",65,1
8,"IS","JOL D","B",45,1
8,"IS","JOL D","B",35,1
8,"IS","JOL D","B",65,1
8,"IS","JOL D","B",75,1
8,"IS","JOL D","B",65,1
8,"IS","JOL D","B",65,0
8,"IS","JOL D","B",75,0
8,"IS","JOL D","B",35,1
8,"IS","JOL D","B",35,1
8,"IS","JOL D","B",50,1
8,"IS","JOL D","F",35,1
8,"IS","JOL D","F",45,1
8,"IS","JOL D","F",65,1
8,"IS","JOL D","F",60,1
8,"IS","JOL D","F",75,0
8,"IS","JOL D","F",65,1
8,"IS","JOL D","F",45,1
8,"IS","JOL D","F",75,1
8,"IS","JOL D","F",65,1
8,"IS","JOL D","F",65,1
8,"IS","JOL D","F",50,1
8,"IS","JOL D","F",55,1
8,"IS","JOL D","F",75,1
8,"IS","JOL D","F",50,1
8,"IS","JOL D","F",65,1
8,"IS","JOL D","F",45,1
8,"IS","JOL D","F",65,1
8,"IS","JOL D","F",25,1
8,"IS","JOL D","F",45,1
8,"IS","JOL D","F",45,1
8,"IS","JOL D","S",55,1
8,"IS","JOL D","S",75,1
8,"IS","JOL D","S",65,1
8,"IS","JOL D","S",65,1
8,"IS","JOL D","S",85,1
8,"IS","JOL D","S",60,1
8,"IS","JOL D","S",75,0
8,"IS","JOL D","S",75,1
8,"IS","JOL D","S",65,0
8,"IS","JOL D","S",65,1
8,"IS","JOL D","S",80,1
8,"IS","JOL D","S",60,1
8,"IS","JOL D","S",70,0
8,"IS","JOL D","S",75,1
8,"IS","JOL D","S",70,1
8,"IS","JOL D","S",80,1
8,"IS","JOL D","S",75,1
8,"IS","JOL D","S",45,0
8,"IS","JOL D","S",60,1
8,"IS","JOL D","S",80,1
8,"IS","JOL D","U",70,0
8,"IS","JOL D","U",50,1
8,"IS","JOL D","U",40,0
8,"IS","JOL D","U",30,1
8,"IS","JOL D","U",60,0
8,"IS","JOL D","U",75,0
8,"IS","JOL D","U",20,0
8,"IS","JOL D","U",65,0
8,"IS","JOL D","U",35,1
8,"IS","JOL D","U",30,0
8,"IS","JOL D","U",75,0
8,"IS","JOL D","U",40,0
8,"IS","JOL D","U",35,0
8,"IS","JOL D","U",75,0
8,"IS","JOL D","U",35,0
8,"IS","JOL D","U",30,0
8,"IS","JOL D","U",25,0
8,"IS","JOL D","U",75,1
8,"IS","JOL D","U",35,0
8,"IS","JOL D","U",35,0
9,"RL","JOL A","F",70,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",40,0
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",80,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",60,1
9,"RL","JOL A","F",40,1
9,"RL","JOL A","F",50,1
