Subject,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,F0,F10,F20,F30,F40,F50,F60,F70,F80,F90,F100,S0,S10,S20,S30,S40,S50,S60,S70,S80,S90,S100,U0,U10,U20,U30,U40,U50,U60,U70,U80,U90,U100,Group
86,0,0,50,66.66666667,100,25,0,50,0,50,0,0,66.66666667,66.66666667,66.66666667,66.66666667,100,100,100,0,0,100,0,100,0,100,100,100,66.66666667,60,50,50,0,0,33.33333333,57.14285714,100,33.33333333,0,0,0,0,0,0,READ
87,0,0,0,100,0,0,0,33.33333333,33.33333333,50,80,0,0,0,0,0,100,50,0,33.33333333,50,66.66666667,0,100,0,0,0,0,0,100,33.33333333,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,READ
88,0,0,0,0,0,0,0,0,50,22.22222222,0,0,0,0,0,100,0,0,0,75,42.85714286,100,0,0,0,0,100,0,0,50,100,80,40,0,0,0,0,0,0,0,0,0,0,0,READ
97,0,0,0,0,0,0,100,50,66.66666667,27.27272727,33.33333333,0,0,0,0,0,0,0,66.66666667,55.55555556,33.33333333,75,0,0,0,0,0,0,50,50,71.42857143,87.5,0,0,0,0,0,0,9.090909091,20,0,0,0,0,READ
98,0,0,100,0,0,50,0,100,100,0,75,0,0,100,0,0,50,0,100,100,100,66.66666667,0,50,0,0,0,100,50,50,75,100,100,0,14.28571429,0,0,66.66666667,0,0,0,0,0,0,READ
99,0,0,0,0,100,0,50,55.55555556,33.33333333,0,0,0,0,0,0,0,50,20,40,42.85714286,0,0,0,0,0,0,100,25,25,28.57142857,50,0,0,0,0,0,0,0,0,0,0,0,0,0,READ
100,0,0,0,75,100,75,100,100,0,0,0,0,0,0,100,80,75,100,100,0,0,0,0,0,0,0,100,75,100,100,100,0,0,0,0,60,33.33333333,0,100,0,66.66666667,0,0,0,READ
5,0,0,33.33333333,100,50,33.33333333,33.33333333,33.33333333,0,0,0,0,50,50,50,100,100,100,100,80,0,0,0,0,0,100,100,50,80,66.66666667,100,100,0,0,0,66.66666667,0,0,0,0,100,0,0,0,IS
6,0,100,100,100,50,0,50,0,66.66666667,0,0,0,100,100,100,100,100,100,100,100,0,0,50,83.33333333,100,100,100,0,0,100,0,100,0,53.33333333,100,100,0,100,0,0,0,0,0,0,IS
7,100,0,0,100,0,100,0,0,100,0,100,0,0,0,80,0,60,0,0,100,0,80,0,0,0,100,0,100,0,0,85.71428571,0,100,20,0,0,28.57142857,0,0,0,0,66.66666667,0,0,IS
8,0,0,0,0,80,100,50,71.42857143,50,0,0,0,0,0,100,100,100,100,100,66.66666667,0,0,0,0,0,0,0,0,100,66.66666667,87.5,100,0,0,0,0,25,14.28571429,100,0,0,25,0,0,IS
17,100,100,100,100,60,100,0,100,0,0,0,0,100,100,50,100,100,100,100,100,0,0,0,0,0,0,100,100,66.66666667,100,75,100,0,0,40,10,50,0,0,0,0,0,0,0,IS
18,0,100,0,0,0,50,0,50,42.85714286,100,0,0,0,0,0,100,100,100,100,50,33.33333333,0,0,0,0,0,100,100,75,100,75,100,0,0,0,0,0,0,0,0,14.28571429,0,0,0,IS
19,0,0,0,0,0,100,0,0,0,0,72.22222222,0,100,0,0,0,0,0,0,0,0,31.57894737,0,0,0,0,0,0,0,0,0,0,58.82352941,0,0,0,33.33333333,0,0,0,0,0,0,60,IS
