Sub.ID,Encoding,Group,Direction,JOL,Scored,Experiment
4,READ,JOL D,S,60,1,2
4,READ,JOL D,S,75,1,2
4,READ,JOL D,S,90,1,2
4,READ,JOL D,S,80,1,2
4,READ,JOL D,S,85,1,2
4,READ,JOL D,S,85,1,2
4,READ,JOL D,S,7,1,2
4,READ,JOL D,S,85,1,2
4,READ,JOL D,S,50,0,2
4,READ,JOL D,S,70,1,2
4,READ,JOL D,S,60,1,2
4,READ,JOL D,S,70,1,2
4,READ,JOL D,S,70,1,2
4,READ,JOL D,S,95,0,2
4,READ,JOL D,S,65,1,2
4,READ,JOL D,U,40,0,2
4,READ,JOL D,U,40,0,2
4,READ,JOL D,U,40,1,2
4,READ,JOL D,U,50,0,2
4,READ,JOL D,U,45,0,2
4,READ,JOL D,U,50,0,2
4,READ,JOL D,U,55,0,2
4,READ,JOL D,U,40,0,2
4,READ,JOL D,U,40,1,2
4,READ,JOL D,U,50,1,2
4,READ,JOL D,U,40,1,2
4,READ,JOL D,U,45,0,2
4,READ,JOL D,U,40,0,2
4,READ,JOL D,U,35,0,2
4,READ,JOL D,U,4,1,2
4,READ,JOL D,U,60,1,2
4,READ,JOL D,U,50,1,2
4,READ,JOL D,U,70,0,2
4,READ,JOL D,U,40,0,2
4,READ,JOL D,U,50,1,2
5,IS,JOL A,F,20,0,2
5,IS,JOL A,F,68,1,2
5,IS,JOL A,F,70,1,2
5,IS,JOL A,F,10,1,2
5,IS,JOL A,F,20,1,2
5,IS,JOL A,F,60,1,2
5,IS,JOL A,F,25,0,2
5,IS,JOL A,F,50,1,2
5,IS,JOL A,F,78,1,2
5,IS,JOL A,F,80,1,2
5,IS,JOL A,F,10,0,2
5,IS,JOL A,F,32,1,2
5,IS,JOL A,F,50,1,2
5,IS,JOL A,F,80,1,2
5,IS,JOL A,F,38,1,2
5,IS,JOL A,F,35,1,2
5,IS,JOL A,F,69,1,2
5,IS,JOL A,F,80,0,2
5,IS,JOL A,F,65,1,2
5,IS,JOL A,F,79,1,2
