"ExperimentName","Subject","Block","Direction","JOL","RT","Recall","type"
"READ_JOL B",14,2,"S",15,9748,100,"READ"
"READ_JOL B",14,2,"S",100,5792,100,"READ"
"READ_JOL B",14,2,"S",20,5802,100,"READ"
"READ_JOL B",14,2,"S",100,6622,100,"READ"
"READ_JOL B",14,2,"S",100,4827,100,"READ"
"READ_JOL B",14,2,"S",100,4195,100,"READ"
"READ_JOL B",14,2,"S",100,5142,100,"READ"
"READ_JOL B",14,2,"S",100,4440,100,"READ"
"READ_JOL B",14,2,"S",45,6622,100,"READ"
"READ_JOL B",14,2,"S",100,4207,100,"READ"
"READ_JOL B",14,2,"S",99,4662,100,"READ"
"READ_JOL B",14,2,"U",0,4099,0,"READ"
"READ_JOL B",14,2,"U",0,5830,0,"READ"
"READ_JOL B",14,2,"U",5,6916,100,"READ"
"READ_JOL B",14,2,"U",0,3583,0,"READ"
"READ_JOL B",14,2,"U",0,5788,0,"READ"
"READ_JOL B",14,2,"U",5,6076,0,"READ"
"READ_JOL B",14,2,"U",5,3921,0,"READ"
"READ_JOL B",14,2,"U",3,5200,0,"READ"
"READ_JOL B",14,2,"U",0,5602,0,"READ"
"READ_JOL B",14,2,"U",0,7106,0,"READ"
"READ_JOL B",14,2,"U",0,5043,100,"READ"
"READ_JOL B",14,2,"U",5,6840,0,"READ"
"READ_JOL B",14,2,"U",0,4806,0,"READ"
"READ_JOL B",14,2,"U",5,6019,0,"READ"
"READ_JOL B",14,2,"U",20,9647,100,"READ"
"READ_JOL B",14,2,"U",0,3286,100,"READ"
"READ_JOL B",14,2,"U",0,4206,0,"READ"
"READ_JOL B",14,2,"U",0,5336,0,"READ"
"READ_JOL B",14,2,"U",0,6953,0,"READ"
"READ_JOL B",14,2,"U",5,5930,0,"READ"
"READ_JOL C",15,1,"F",50,5333,0,"READ"
"READ_JOL C",15,1,"F",75,7774,0,"READ"
"READ_JOL C",15,1,"F",90,3302,100,"READ"
"READ_JOL C",15,1,"F",70,6761,0,"READ"
"READ_JOL C",15,1,"F",90,4175,0,"READ"
"READ_JOL C",15,1,"F",90,4267,0,"READ"
"READ_JOL C",15,1,"F",70,4594,0,"READ"
"READ_JOL C",15,1,"F",89,6096,0,"READ"
"READ_JOL C",15,1,"F",80,7136,0,"READ"
"READ_JOL C",15,1,"F",90,4104,0,"READ"
"READ_JOL C",15,1,"F",75,5698,0,"READ"
"READ_JOL C",15,1,"F",90,4204,0,"READ"
"READ_JOL C",15,1,"F",80,5963,0,"READ"
"READ_JOL C",15,1,"F",79,6271,0,"READ"
"READ_JOL C",15,1,"F",85,5144,100,"READ"
"READ_JOL C",15,1,"F",96,3034,0,"READ"
"READ_JOL C",15,1,"F",90,4116,0,"READ"
"READ_JOL C",15,1,"F",90,5928,100,"READ"
"READ_JOL C",15,1,"F",80,13198,0,"READ"
"READ_JOL C",15,1,"F",80,5805,0,"READ"
"READ_JOL C",15,1,"B",75,5383,100,"READ"
"READ_JOL C",15,1,"B",85,5134,0,"READ"
"READ_JOL C",15,1,"B",80,3977,100,"READ"
"READ_JOL C",15,1,"B",80,11560,100,"READ"
"READ_JOL C",15,1,"B",96,4416,100,"READ"
"READ_JOL C",15,1,"B",93,5858,100,"READ"
"READ_JOL C",15,1,"B",98,3945,100,"READ"
"READ_JOL C",15,1,"B",90,4020,0,"READ"
"READ_JOL C",15,1,"B",8,9263,0,"READ"
"READ_JOL C",15,1,"B",98,4657,100,"READ"
"READ_JOL C",15,1,"B",75,7777,0,"READ"
"READ_JOL C",15,1,"B",9,3882,100,"READ"
"READ_JOL C",15,1,"B",97,4453,100,"READ"
"READ_JOL C",15,1,"B",70,4657,100,"READ"
"READ_JOL C",15,1,"B",90,7358,0,"READ"
"READ_JOL C",15,1,"B",86,5383,0,"READ"
"READ_JOL C",15,1,"B",90,3743,100,"READ"
"READ_JOL C",15,1,"B",95,4899,100,"READ"
"READ_JOL C",15,1,"B",78,7419,100,"READ"
"READ_JOL C",15,1,"B",80,8773,0,"READ"
"READ_JOL C",15,1,"S",94,8364,0,"READ"
"READ_JOL C",15,1,"S",86,5434,0,"READ"
"READ_JOL C",15,1,"S",79,5852,0,"READ"
"READ_JOL C",15,1,"S",91,4442,0,"READ"
"READ_JOL C",15,1,"S",92,6886,100,"READ"
"READ_JOL C",15,1,"S",95,5803,0,"READ"
"READ_JOL C",15,1,"S",66,5546,100,"READ"
"READ_JOL C",15,1,"S",96,4036,100,"READ"
"READ_JOL C",15,1,"S",90,5650,100,"READ"
"READ_JOL C",15,1,"S",100,3535,100,"READ"
"READ_JOL C",15,1,"S",95,4347,100,"READ"
"READ_JOL C",15,1,"S",60,4862,0,"READ"
"READ_JOL C",15,1,"S",88,5287,100,"READ"
"READ_JOL C",15,1,"S",95,3170,100,"READ"
"READ_JOL C",15,1,"S",97,3255,0,"READ"
"READ_JOL C",15,1,"S",80,5713,0,"READ"
"READ_JOL C",15,1,"S",90,3974,0,"READ"
"READ_JOL C",15,1,"S",100,3832,0,"READ"
"READ_JOL C",15,1,"S",91,4092,100,"READ"
"READ_JOL C",15,1,"S",90,4358,100,"READ"
"READ_JOL C",15,1,"U",75,11308,0,"READ"
"READ_JOL C",15,1,"U",30,3191,0,"READ"
"READ_JOL C",15,1,"U",20,3527,0,"READ"
"READ_JOL C",15,1,"U",40,3654,0,"READ"
"READ_JOL C",15,1,"U",40,7713,0,"READ"
"READ_JOL C",15,1,"U",45,3197,0,"READ"
"READ_JOL C",15,1,"U",20,2851,0,"READ"
"READ_JOL C",15,1,"U",60,9074,0,"READ"
"READ_JOL C",15,1,"U",35,4480,0,"READ"
"READ_JOL C",15,1,"U",50,6081,0,"READ"
"READ_JOL C",15,1,"U",70,6609,0,"READ"
"READ_JOL C",15,1,"U",80,3893,0,"READ"
"READ_JOL C",15,1,"U",40,3792,0,"READ"
"READ_JOL C",15,1,"U",45,4153,0,"READ"
"READ_JOL C",15,1,"U",30,4421,0,"READ"
"READ_JOL C",15,1,"U",20,6224,0,"READ"
"READ_JOL C",15,1,"U",40,5488,0,"READ"
"READ_JOL C",15,1,"U",35,3795,0,"READ"
"READ_JOL C",15,1,"U",85,6987,0,"READ"
"READ_JOL C",15,1,"U",45,7778,0,"READ"
"READ_JOL C",15,2,"B",60,3275,100,"READ"
"READ_JOL C",15,2,"B",70,3649,0,"READ"
"READ_JOL C",15,2,"B",80,4243,0,"READ"
"READ_JOL C",15,2,"B",85,2163,0,"READ"
"READ_JOL C",15,2,"B",70,4133,100,"READ"
"READ_JOL C",15,2,"B",67,5038,0,"READ"
"READ_JOL C",15,2,"B",90,2045,0,"READ"
"READ_JOL C",15,2,"B",70,2879,0,"READ"
"READ_JOL C",15,2,"B",98,2182,0,"READ"
"READ_JOL C",15,2,"B",89,4523,0,"READ"
"READ_JOL C",15,2,"B",88,3411,0,"READ"
"READ_JOL C",15,2,"B",85,2558,0,"READ"
"READ_JOL C",15,2,"B",45,2997,0,"READ"
"READ_JOL C",15,2,"B",80,3187,0,"READ"
"READ_JOL C",15,2,"B",40,6064,0,"READ"
"READ_JOL C",15,2,"B",70,4984,0,"READ"
"READ_JOL C",15,2,"B",45,2736,0,"READ"
"READ_JOL C",15,2,"B",45,4426,0,"READ"
"READ_JOL C",15,2,"B",60,5629,0,"READ"
"READ_JOL C",15,2,"B",87,3719,100,"READ"
"READ_JOL C",15,2,"F",77,3290,0,"READ"
"READ_JOL C",15,2,"F",90,2281,100,"READ"
"READ_JOL C",15,2,"F",40,5302,100,"READ"
"READ_JOL C",15,2,"F",50,3835,100,"READ"
"READ_JOL C",15,2,"F",76,3641,100,"READ"
"READ_JOL C",15,2,"F",20,5828,0,"READ"
"READ_JOL C",15,2,"F",70,3728,100,"READ"
"READ_JOL C",15,2,"F",89,2344,100,"READ"
"READ_JOL C",15,2,"F",50,2450,100,"READ"
"READ_JOL C",15,2,"F",85,4338,100,"READ"
"READ_JOL C",15,2,"F",78,2842,100,"READ"
"READ_JOL C",15,2,"F",80,6972,100,"READ"
"READ_JOL C",15,2,"F",85,3415,100,"READ"
"READ_JOL C",15,2,"F",50,3946,100,"READ"
"READ_JOL C",15,2,"F",30,5125,100,"READ"
"READ_JOL C",15,2,"F",85,2238,100,"READ"
"READ_JOL C",15,2,"F",90,5440,100,"READ"
"READ_JOL C",15,2,"F",90,4294,100,"READ"
"READ_JOL C",15,2,"F",79,3642,100,"READ"
"READ_JOL C",15,2,"F",59,4719,100,"READ"
"READ_JOL C",15,2,"S",90,3407,100,"READ"
"READ_JOL C",15,2,"S",90,2764,100,"READ"
"READ_JOL C",15,2,"S",45,6585,0,"READ"
"READ_JOL C",15,2,"S",89,4565,100,"READ"
"READ_JOL C",15,2,"S",90,4306,0,"READ"
"READ_JOL C",15,2,"S",90,5700,100,"READ"
"READ_JOL C",15,2,"S",80,6182,100,"READ"
"READ_JOL C",15,2,"S",60,3579,100,"READ"
"READ_JOL C",15,2,"S",90,2471,100,"READ"
"READ_JOL C",15,2,"S",90,3210,100,"READ"
"READ_JOL C",15,2,"S",50,2314,100,"READ"
"READ_JOL C",15,2,"S",80,4027,100,"READ"
"READ_JOL C",15,2,"S",78,3414,100,"READ"
"READ_JOL C",15,2,"S",70,6373,100,"READ"
"READ_JOL C",15,2,"S",30,3261,0,"READ"
"READ_JOL C",15,2,"S",46,4553,100,"READ"
"READ_JOL C",15,2,"S",80,3660,0,"READ"
"READ_JOL C",15,2,"S",59,5647,100,"READ"
"READ_JOL C",15,2,"S",90,6429,100,"READ"
"READ_JOL C",15,2,"S",88,3642,100,"READ"
"READ_JOL C",15,2,"U",27,3923,0,"READ"
"READ_JOL C",15,2,"U",70,5376,0,"READ"
"READ_JOL C",15,2,"U",34,5184,0,"READ"
"READ_JOL C",15,2,"U",45,4857,0,"READ"
"READ_JOL C",15,2,"U",20,3113,0,"READ"
"READ_JOL C",15,2,"U",20,5423,0,"READ"
"READ_JOL C",15,2,"U",55,4875,0,"READ"
"READ_JOL C",15,2,"U",49,3164,0,"READ"
"READ_JOL C",15,2,"U",59,4792,0,"READ"
"READ_JOL C",15,2,"U",20,4479,0,"READ"
"READ_JOL C",15,2,"U",38,6829,0,"READ"
"READ_JOL C",15,2,"U",76,7445,100,"READ"
"READ_JOL C",15,2,"U",10,4276,0,"READ"
"READ_JOL C",15,2,"U",25,6115,0,"READ"
"READ_JOL C",15,2,"U",30,4001,0,"READ"
"READ_JOL C",15,2,"U",23,5400,0,"READ"
"READ_JOL C",15,2,"U",10,3238,0,"READ"
"READ_JOL C",15,2,"U",46,5080,0,"READ"
"READ_JOL C",15,2,"U",30,4302,0,"READ"
"READ_JOL C",15,2,"U",20,4253,0,"READ"
"READ_JOL D",16,1,"B",50,2841,100,"READ"
"READ_JOL D",16,1,"B",80,2051,100,"READ"
"READ_JOL D",16,1,"B",80,3238,100,"READ"
"READ_JOL D",16,1,"B",70,6050,0,"READ"
"READ_JOL D",16,1,"B",60,7257,100,"READ"
"READ_JOL D",16,1,"B",30,6193,0,"READ"
"READ_JOL D",16,1,"B",60,3536,100,"READ"
"READ_JOL D",16,1,"B",75,3143,100,"READ"
"READ_JOL D",16,1,"B",80,2426,100,"READ"
"READ_JOL D",16,1,"B",80,3662,100,"READ"
"READ_JOL D",16,1,"B",80,2709,0,"READ"
"READ_JOL D",16,1,"B",50,2485,100,"READ"
"READ_JOL D",16,1,"B",40,5433,100,"READ"
"READ_JOL D",16,1,"B",70,4373,100,"READ"
"READ_JOL D",16,1,"B",85,3351,0,"READ"
"READ_JOL D",16,1,"B",70,3176,0,"READ"
"READ_JOL D",16,1,"B",60,3447,100,"READ"
"READ_JOL D",16,1,"B",70,2501,0,"READ"
"READ_JOL D",16,1,"B",65,3110,0,"READ"
"READ_JOL D",16,1,"B",90,3907,100,"READ"
"READ_JOL D",16,1,"F",75,4023,0,"READ"
