Subject,type,Group,Direction,Bin,Recall
4,READ,JOL D,B,70,100
4,READ,JOL D,B,70,0
4,READ,JOL D,B,70,0
4,READ,JOL D,B,90,0
4,READ,JOL D,F,80,100
4,READ,JOL D,F,70,100
4,READ,JOL D,F,80,100
4,READ,JOL D,F,80,100
4,READ,JOL D,F,80,100
4,READ,JOL D,F,60,100
4,READ,JOL D,F,90,0
4,READ,JOL D,F,80,100
4,READ,JOL D,F,90,100
4,READ,JOL D,F,80,100
4,READ,JOL D,F,50,100
4,READ,JOL D,F,10,100
4,READ,JOL D,F,90,100
4,READ,JOL D,F,90,100
4,READ,JOL D,F,70,100
4,READ,JOL D,F,70,100
4,READ,JOL D,F,70,100
4,READ,JOL D,F,90,0
4,READ,JOL D,F,90,100
4,READ,JOL D,F,60,100
4,READ,JOL D,S,70,100
4,READ,JOL D,S,80,100
4,READ,JOL D,S,90,100
4,READ,JOL D,S,80,100
4,READ,JOL D,S,60,100
4,READ,JOL D,S,60,100
4,READ,JOL D,S,80,100
4,READ,JOL D,S,90,100
4,READ,JOL D,S,80,100
4,READ,JOL D,S,90,100
4,READ,JOL D,S,90,100
4,READ,JOL D,S,10,100
4,READ,JOL D,S,90,100
4,READ,JOL D,S,50,0
4,READ,JOL D,S,70,100
4,READ,JOL D,S,60,100
4,READ,JOL D,S,70,100
4,READ,JOL D,S,70,100
4,READ,JOL D,S,100,0
4,READ,JOL D,S,70,100
4,READ,JOL D,U,40,0
4,READ,JOL D,U,40,0
4,READ,JOL D,U,40,100
4,READ,JOL D,U,50,0
4,READ,JOL D,U,50,0
4,READ,JOL D,U,50,0
4,READ,JOL D,U,60,0
4,READ,JOL D,U,40,0
4,READ,JOL D,U,40,100
4,READ,JOL D,U,50,100
4,READ,JOL D,U,40,100
4,READ,JOL D,U,50,0
4,READ,JOL D,U,40,0
4,READ,JOL D,U,40,0
4,READ,JOL D,U,0,100
4,READ,JOL D,U,60,100
4,READ,JOL D,U,50,100
4,READ,JOL D,U,70,0
4,READ,JOL D,U,40,0
4,READ,JOL D,U,50,100
13,READ,JOL A,F,60,0
13,READ,JOL A,F,70,100
13,READ,JOL A,F,70,0
13,READ,JOL A,F,50,0
13,READ,JOL A,F,70,0
13,READ,JOL A,F,40,0
13,READ,JOL A,F,80,0
13,READ,JOL A,F,60,100
13,READ,JOL A,F,70,0
13,READ,JOL A,F,60,0
13,READ,JOL A,F,50,0
13,READ,JOL A,F,50,0
13,READ,JOL A,F,60,0
13,READ,JOL A,F,10,100
13,READ,JOL A,F,80,0
13,READ,JOL A,F,70,0
13,READ,JOL A,F,60,100
13,READ,JOL A,F,90,100
13,READ,JOL A,F,70,0
13,READ,JOL A,F,90,0
13,READ,JOL A,B,60,0
13,READ,JOL A,B,80,0
13,READ,JOL A,B,80,0
13,READ,JOL A,B,60,0
13,READ,JOL A,B,80,0
13,READ,JOL A,B,100,100
13,READ,JOL A,B,60,0
13,READ,JOL A,B,90,0
13,READ,JOL A,B,70,0
13,READ,JOL A,B,40,0
13,READ,JOL A,B,50,0
13,READ,JOL A,B,70,0
13,READ,JOL A,B,70,0
13,READ,JOL A,B,80,0
13,READ,JOL A,B,100,0
13,READ,JOL A,B,90,0
13,READ,JOL A,B,60,0
13,READ,JOL A,B,70,0
13,READ,JOL A,B,80,0
13,READ,JOL A,B,70,0
13,READ,JOL A,S,70,100
13,READ,JOL A,S,70,0
13,READ,JOL A,S,40,0
13,READ,JOL A,S,80,0
13,READ,JOL A,S,90,100
13,READ,JOL A,S,70,0
13,READ,JOL A,S,50,0
13,READ,JOL A,S,70,100
13,READ,JOL A,S,90,0
13,READ,JOL A,S,80,0
13,READ,JOL A,S,60,0
13,READ,JOL A,S,50,0
13,READ,JOL A,S,40,0
13,READ,JOL A,S,70,0
13,READ,JOL A,S,60,100
13,READ,JOL A,S,30,100
13,READ,JOL A,S,60,100
13,READ,JOL A,S,70,0
13,READ,JOL A,S,50,0
13,READ,JOL A,U,20,0
13,READ,JOL A,U,70,0
13,READ,JOL A,U,80,0
13,READ,JOL A,U,70,0
13,READ,JOL A,U,70,0
13,READ,JOL A,U,60,0
13,READ,JOL A,U,60,0
13,READ,JOL A,U,50,0
13,READ,JOL A,U,50,0
13,READ,JOL A,U,50,0
13,READ,JOL A,U,60,0
13,READ,JOL A,U,60,0
13,READ,JOL A,U,80,0
13,READ,JOL A,U,80,0
13,READ,JOL A,U,30,0
13,READ,JOL A,U,30,0
13,READ,JOL A,U,70,0
13,READ,JOL A,U,30,0
13,READ,JOL A,U,80,0
14,READ,JOL B,F,50,0
14,READ,JOL B,F,0,100
14,READ,JOL B,F,10,100
14,READ,JOL B,F,80,100
14,READ,JOL B,F,60,100
14,READ,JOL B,F,20,100
14,READ,JOL B,F,100,100
14,READ,JOL B,F,30,100
14,READ,JOL B,F,90,100
14,READ,JOL B,F,50,0
14,READ,JOL B,F,90,100
14,READ,JOL B,F,60,100
14,READ,JOL B,F,50,100
14,READ,JOL B,F,50,100
14,READ,JOL B,F,50,0
14,READ,JOL B,F,0,100
14,READ,JOL B,F,30,0
14,READ,JOL B,F,50,100
14,READ,JOL B,F,40,100
14,READ,JOL B,F,40,100
14,READ,JOL B,B,80,100
14,READ,JOL B,B,60,100
14,READ,JOL B,B,0,0
14,READ,JOL B,B,80,0
14,READ,JOL B,B,10,0
14,READ,JOL B,B,0,0
14,READ,JOL B,B,20,100
14,READ,JOL B,B,100,0
14,READ,JOL B,B,70,100
14,READ,JOL B,B,60,100
14,READ,JOL B,B,40,0
14,READ,JOL B,B,100,0
14,READ,JOL B,B,90,0
14,READ,JOL B,B,70,0
14,READ,JOL B,B,100,0
14,READ,JOL B,B,80,0
14,READ,JOL B,B,70,100
14,READ,JOL B,B,90,0
14,READ,JOL B,B,10,100
14,READ,JOL B,S,90,100
14,READ,JOL B,S,60,100
14,READ,JOL B,S,100,100
14,READ,JOL B,S,100,100
14,READ,JOL B,S,30,0
14,READ,JOL B,S,30,100
14,READ,JOL B,S,70,100
14,READ,JOL B,S,100,100
14,READ,JOL B,S,20,100
14,READ,JOL B,S,20,0
14,READ,JOL B,S,80,100
14,READ,JOL B,S,60,100
14,READ,JOL B,S,30,0
14,READ,JOL B,S,0,0
14,READ,JOL B,S,60,100
14,READ,JOL B,S,100,100
14,READ,JOL B,S,40,100
14,READ,JOL B,S,50,100
14,READ,JOL B,S,80,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,10,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,10,100
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,0
14,READ,JOL B,U,0,100
14,READ,JOL B,U,0,0
